,borough,block,lot,cd,bct2020,bctcb2020,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healthcenterdistrict,healtharea,sanitboro,sanitdistrict,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,firm07_flag,pfirm15_flag,version,dcpedited,latitude,longitude,notes
553294,MN,284,1,103.0,1000600.0,10006003001.0,6.0,3001.0,2.0,1.0,10002.0,E015,7.0,14.0,7800.0,1.0,3.0,1B,13 HENRY STREET,PARK,,,,,,,,,,N,Q2,9.0,1.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,5889.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,78.33,75.17,0.0,0.0,N,0.0,N,3.0,0.0,346500.0,346500.0,346500.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1,1002840001.0,,6.0,987073.0,199256.0,12d,,101N056,10107.0,,,,1,,,22v3,t,40.7135879,-73.9898169,
553306,MN,406,46,103.0,1003400.0,10034001001.0,34.0,1001.0,1.0,2.0,10009.0,L011,9.0,14.0,6200.0,1.0,3.0,4A,537 EAST 12 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2581.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,25.0,103.25,0.0,0.0,,0.0,N,5.0,5.0,655650.0,655650.0,655650.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1004060046.0,,34.0,989922.0,204719.0,12c,,102 029,10203.0,,,,1,,,22v3,t,40.7285812,-73.9795354,
553326,MN,344,148,103.0,1002201.0,10022012001.0,22.01,2001.0,1.0,1.0,10002.0,L018,7.0,14.0,7600.0,1.0,3.0,2A, STANTON STREET,R7A,,,,C1-5,,,,,,N,Q9,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2533.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,25.33,100.0,0.0,0.0,N,0.0,N,3.0,0.0,197100.0,197100.0,197100.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003440148.0,,2201.0,988558.0,201596.0,12c,,102 005,10201.0,,,,1,,,22v3,t,40.7200101,-73.9844587,
553414,MN,385,11,103.0,1002202.0,10022021001.0,22.02,1001.0,1.0,2.0,10009.0,E028,9.0,14.0,7600.0,1.0,3.0,3A,212 EAST 3 STREET,R8B,R7A,,,C1-5,,,,,,Y,Q1,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,7100.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,71.0,100.0,0.0,0.0,,0.0,N,5.0,5.0,847350.0,847350.0,847350.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003850011.0,,2202.0,989052.0,202430.0,12c,,102 013,10203.0,,,,1,,,22v3,t,40.722299,-73.982676,
553499,MN,391,43,103.0,1002602.0,10026023000.0,26.02,2000.0,1.0,2.0,10009.0,L011,9.0,14.0,6700.0,1.0,3.0,4A,EAST 8 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2325.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,24.75,93.92,0.0,0.0,,0.0,N,5.0,5.0,650700.0,650700.0,650700.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003910043.0,,2602.0,990081.0,203473.0,12c,,102 022,10203.0,,,,1,,1.0,22v3,t,40.7251611,-73.9789628,
553504,MN,390,46,103.0,1002602.0,10026023001.0,26.02,2001.0,1.0,2.0,10009.0,L011,9.0,14.0,6700.0,1.0,3.0,4A,215 EAST 7 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,6499.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,66.67,97.5,0.0,0.0,,0.0,N,5.0,5.0,1409850.0,1409850.0,1409850.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003900046.0,,2602.0,989894.0,203286.0,12c,,102 022,10203.0,,,,1,,1.0,22v3,t,40.724648,-73.9796377,
553518,MN,256,3,103.0,1000600.0,,6.0,5001.0,2.0,1.0,10002.0,E015,7.0,14.0,7800.0,1.0,3.0,1B, MADISON STREET,PARK,,,,,,,,,,N,Q9,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,6890.0,17300.0,17300.0,0.0,0.0,0.0,0.0,0.0,0.0,17300.0,2.0,1.0,4.0,0.0,1.0,53.0,130.0,53.0,125.0,N,1.0,N,6.0,1.0,210600.0,386550.0,386550.0,1909.0,0.0,0.0,,,2.51,0.0,0.0,0.0,1,1002560003.0,,6.0,987567.0,198814.0,12d,,101N056,10106.0,,,,1,,,22v3,t,40.7123746,-73.9880352,
553534,MN,406,16,103.0,1003400.0,10034001001.0,34.0,1001.0,1.0,2.0,10009.0,L011,9.0,14.0,6200.0,1.0,3.0,4A,520 EAST 13 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2581.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,25.0,103.25,0.0,0.0,,0.0,N,5.0,5.0,655650.0,655650.0,655650.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1004060016.0,,34.0,989799.0,204909.0,12c,,102 029,10203.0,,,,1,,,22v3,t,40.7291028,-73.9799791,
553538,MN,406,38,103.0,1003400.0,10034001001.0,34.0,1001.0,1.0,2.0,10009.0,L011,9.0,14.0,6200.0,1.0,3.0,4A,198 AVENUE B,R7A,,,,C1-5,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,1100.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,18.33,60.0,0.0,0.0,,0.0,N,5.0,5.0,283050.0,283050.0,283050.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1004060038.0,,34.0,990046.0,204624.0,12c,,102 029,10203.0,,,,1,,,22v3,t,40.7283204,-73.9790881,
553540,MN,385,51,103.0,1002202.0,10022021001.0,22.02,1001.0,1.0,2.0,10009.0,E028,9.0,14.0,7600.0,1.0,3.0,3Q,238 EAST 2 STREET,R8B,,,,,,,,,,N,QG,9.0,0.0,C,NYC DEPARTMENT OF PARKS AND RECREATION,2621.0,0.0,,,,,,,,,7.0,0.0,,0.0,0.0,24.75,105.92,0.0,0.0,,0.0,N,5.0,5.0,728550.0,728550.0,728550.0,0.0,0.0,0.0,,,0.0,4.0,0.0,4.0,1,1003850051.0,,2202.0,989256.0,202190.0,12c,,102 013,10203.0,,,,1,,,22v3,t,40.7216401,-73.9819402,
